model,accuracy,precision,recall,f1_score,high_precision,high_recall,high_f1,train_time,predict_time
LogisticRegression,0.9735,0.9751312882256876,0.9735,0.9736160667447633,0.9461077844311377,1.0,0.9723076923076923,0.1852436065673828,0.0009987354278564453
DecisionTreeClassifier,0.9995,0.9995004240882104,0.9995,0.9994998420754821,1.0,0.9978902953586498,0.9989440337909187,0.018711566925048828,0.0023381710052490234
RandomForestClassifier,0.9815,0.9815188573367725,0.9815,0.9814778594247775,0.9809725158562368,0.9789029535864979,0.9799366420274552,0.5831496715545654,0.03454160690307617
GradientBoostingClassifier,0.998,0.9980067681895093,0.998,0.9979981841704553,1.0,0.9978902953586498,0.9989440337909187,2.6893041133880615,0.010949134826660156
XGBClassifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3542659282684326,0.009527444839477539
SVC,0.9555,0.958724640616633,0.9555,0.9557490921336732,0.9161793372319688,0.9915611814345991,0.9523809523809524,3.708078384399414,0.2531468868255615
KNeighborsClassifier,0.871,0.872217710860568,0.871,0.8694119964446949,0.8951048951048951,0.810126582278481,0.8504983388704319,0.0020024776458740234,0.3048694133758545
GaussianNB,0.897,0.9080940776038121,0.897,0.8942259431932437,0.9641025641025641,0.7932489451476793,0.8703703703703703,0.004004955291748047,0.001001119613647461
MLPClassifier,0.9965,0.9965053909983267,0.9965,0.9964910432492303,1.0,1.0,1.0,9.636789798736572,0.0026273727416992188
XGBClassifier (Optimized),1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.36435627937316895,0.011394023895263672
GradientBoostingClassifier (Optimized),0.999,0.9990016949152543,0.999,0.9989989831660201,1.0,1.0,1.0,8.553750991821289,0.02773261070251465
